Date,Price,Forecast(Price),Lower Confidence Bound(Price),Upper Confidence Bound(Price)
08-09-2019,70.985,,,
15-09-2019,71.075,,,
22-09-2019,70.509,,,
29-09-2019,70.825,,,
06-10-2019,70.924,,,
13-10-2019,71.09,,,
20-10-2019,70.82,,,
27-10-2019,70.76,,,
03-11-2019,71.36,,,
10-11-2019,71.65,,,
17-11-2019,71.792,,,
24-11-2019,71.749,,,
01-12-2019,71.283,,,
08-12-2019,70.798,,,
15-12-2019,71.06,,,
22-12-2019,71.455,,,
29-12-2019,71.77,,,
05-01-2020,70.96,,,
12-01-2020,71.079,,,
19-01-2020,71.33,,,
26-01-2020,71.555,,,
02-02-2020,71.515,,,
09-02-2020,71.528,,,
16-02-2020,71.88,,,
23-02-2020,72.539,,,
01-03-2020,74.004,,,
08-03-2020,73.84,,,
15-03-2020,75.398,,,
22-03-2020,75.472,,,
29-03-2020,76.241,,,
05-04-2020,75.879,,,
12-04-2020,76.55,,,
19-04-2020,76.27,,,
26-04-2020,75.749,,,
03-05-2020,75.535,,,
10-05-2020,75.83,,,
17-05-2020,75.95,,,
24-05-2020,75.605,,,
31-05-2020,75.56,,,
07-06-2020,76.05,,,
14-06-2020,76.26,,,
21-06-2020,75.62,,,
28-06-2020,74.636,,,
05-07-2020,75.195,,,
12-07-2020,74.897,,,
19-07-2020,74.76,,,
26-07-2020,74.916,,,
02-08-2020,75.012,,,
09-08-2020,74.874,,,
16-08-2020,74.92,,,
23-08-2020,73.114,,,
30-08-2020,73.29,73.29,73.29,73.29
06-09-2020,,73.40175941,72.07,74.73
13-09-2020,,73.51351883,72.11,74.92
20-09-2020,,73.62527824,72.15,75.10
27-09-2020,,73.73703765,72.20,75.27
04-10-2020,,73.84879706,72.25,75.45
11-10-2020,,73.96055648,72.30,75.62
18-10-2020,,74.07231589,72.35,75.80
25-10-2020,,74.1840753,72.40,75.97
01-11-2020,,74.29583471,72.46,76.14
08-11-2020,,74.40759413,72.51,76.30
15-11-2020,,74.51935354,72.57,76.47
22-11-2020,,74.63111295,72.63,76.63
29-11-2020,,74.74287236,72.69,76.80
06-12-2020,,74.85463178,72.75,76.96
13-12-2020,,74.96639119,72.81,77.12
20-12-2020,,75.0781506,72.87,77.28
27-12-2020,,75.18991001,72.94,77.44
31-12-2020,,75.25377254,72.97,77.53
