Date,Price,Open,High,Low,Volume,Chg%
08-09-2019,70.985,71.715,72.012,70.847,0,-0.0092
15-09-2019,71.075,71.685,71.987,70.685,0,0.0013
22-09-2019,70.509,71.026,71.154,70.364,0,-0.008
29-09-2019,70.825,70.425,71.365,70.358,0,0.0045
06-10-2019,70.924,70.961,71.234,70.799,0,0.0014
13-10-2019,71.09,70.893,71.73,70.74,0,0.0023
20-10-2019,70.82,71.08,71.09,70.72,0,-0.0038
27-10-2019,70.76,70.819,71.065,70.681,0,-0.0008
03-11-2019,71.36,70.56,71.364,70.56,0,0.0085
10-11-2019,71.65,71.37,72.25,71.29,0,0.0041
17-11-2019,71.792,71.666,72.011,71.566,0,0.002
24-11-2019,71.749,71.693,71.872,71.226,0,-0.0006
01-12-2019,71.283,71.795,71.835,71.17,0,-0.0065
08-12-2019,70.798,71.293,71.293,70.503,0,-0.0068
15-12-2019,71.06,70.76,71.256,70.76,0,0.0037
22-12-2019,71.455,71.118,71.505,71.115,0,0.0056
29-12-2019,71.77,71.34,71.844,71.23,0,0.0044
05-01-2020,70.96,72.018,72.13,70.848,0,-0.0113
12-01-2020,71.079,70.798,71.099,70.675,0,0.0017
19-01-2020,71.33,71.07,71.465,71.01,0,0.0035
26-01-2020,71.555,71.48,71.665,71.17,0,0.0032
02-02-2020,71.515,71.535,71.665,71.1,0,-0.0006
09-02-2020,71.528,71.391,71.597,71.175,0,0.0002
16-02-2020,71.88,71.42,72.056,71.25,0,0.0049
23-02-2020,72.539,71.905,72.574,71.534,0,0.0092
01-03-2020,74.004,72.519,74.073,72.027,0,0.0202
08-03-2020,73.84,73.971,74.576,73.531,0,-0.0022
15-03-2020,75.398,74.025,75.398,73.857,0,0.0211
22-03-2020,75.472,75.37,76.385,74.365,0,0.001
29-03-2020,76.241,75.145,76.43,75.096,0,0.0102
05-04-2020,75.879,76.24,76.555,75.521,0,-0.0047
12-04-2020,76.55,75.879,76.914,75.879,0,0.0088
19-04-2020,76.27,76.55,77.01,75.817,0,-0.0037
26-04-2020,75.749,76.27,76.449,74.909,0,-0.0068
03-05-2020,75.535,75.75,76.145,75.262,0,-0.0028
10-05-2020,75.83,75.535,75.967,75.038,0,0.0039
17-05-2020,75.95,75.83,76.062,75.398,0,0.0016
24-05-2020,75.605,75.95,76.11,75.407,0,-0.0045
31-05-2020,75.56,75.47,75.775,74.973,0,-0.0006
07-06-2020,76.05,75.56,76.24,75.39,0,0.0065
14-06-2020,76.26,76.05,76.4,75.772,0,0.0028
21-06-2020,75.62,76.26,76.295,75.43,0,-0.0084
28-06-2020,74.636,75.62,75.67,74.582,0,-0.013
05-07-2020,75.195,74.636,75.34,74.488,0,0.0075
12-07-2020,74.897,75.195,75.535,74.897,0,-0.004
19-07-2020,74.76,74.898,75.033,74.509,0,-0.0018
26-07-2020,74.916,74.76,74.967,74.665,0,0.0021
02-08-2020,75.012,74.918,75.314,74.763,0,0.0013
09-08-2020,74.874,75.025,75.025,74.522,0,-0.0018
16-08-2020,74.92,74.903,75.132,74.575,0,0.0006
23-08-2020,73.114,74.922,74.922,73.116,0,-0.0241
30-08-2020,73.29,73.115,73.702,72.755,0,0.0024
